,ch0,ch1
0,2,0.0
1,2,0.0
2,4,0.0
3,4,0.0
4,4,0.0
5,4,0.0
6,4,0.0
7,5,0.0
8,5,0.0
9,5,0.0
10,5,0.0
11,5,0.0
12,5,0.0
13,7,0.0
14,7,0.0
15,7,0.0
16,7,0.0
17,7,0.0
18,8,0.0
19,8,0.0
20,8,0.0
21,8,0.0
22,9,0.0
23,8,0.0
24,9,0.0
25,9,0.0
26,9,0.0
27,9,0.0
28,10,0.0
29,10,0.0
30,10,0.0
31,10,0.0
32,10,0.0
33,10,0.0
34,10,0.0
35,11,0.0
36,11,0.0
37,11,0.0
38,11,0.0
39,12,0.0
40,12,0.0
41,13,0.0
42,12,0.0
43,13,0.0
44,13,0.0
45,13,0.0
46,14,0.0
47,14,0.0
48,14,0.0
49,15,0.0
50,14,0.0
51,16,0.0
52,15,0.0
53,16,0.0
54,16,0.0
55,16,0.0
56,16,0.0
57,16,0.0
58,16,0.0
59,16,0.0
60,16,0.0
61,16,0.0
62,16,0.0
63,16,0.0
64,16,0.0
65,17,0.0
66,17,0.0
67,17,0.0
68,17,0.0
69,17,0.0
70,18,0.0
71,18,0.0
72,18,0.0
73,18,0.0
74,18,0.0
75,18,0.0
76,18,0.0
77,19,0.0
78,18,0.0
79,18,0.0
80,19,0.0
81,19,0.0
82,19,0.0
83,19,0.0
84,19,0.0
85,19,0.0
86,20,0.0
87,20,0.0
88,20,0.0
89,21,0.0
90,20,0.0
91,20,0.0
92,21,0.0
93,21,0.0
94,21,0.0
95,21,0.0
96,21,0.0
97,21,0.0
98,21,0.0
99,21,0.0
100,21,0.0
101,22,0.0
102,21,0.0
103,22,0.0
104,21,0.0
105,23,0.0
106,23,0.0
107,23,0.0
108,23,0.0
109,23,0.0
110,23,0.0
111,24,0.0
112,23,0.0
113,23,0.0
114,24,0.0
115,23,0.0
116,23,0.0
117,24,0.0
118,24,0.0
119,24,0.0
120,24,0.0
121,24,0.0
122,24,0.0
123,25,0.0
124,24,0.0
125,24,0.0
126,24,0.0
127,25,0.0
128,24,0.0
129,25,0.0
130,25,0.0
131,25,0.0
132,25,0.0
133,25,0.0
134,26,0.0
135,25,0.0
136,25,0.0
137,25,0.0
138,25,0.0
139,25,0.0
140,25,0.0
141,26,0.0
142,26,0.0
143,26,0.0
144,26,0.0
145,26,0.0
146,26,0.0
147,26,0.0
148,26,0.0
149,26,0.0
150,26,0.0
151,26,0.0
152,26,0.0
153,26,0.0
154,26,0.0
155,26,0.0
156,26,0.0
157,26,0.0
158,26,0.0
159,26,0.0
160,28,0.0
161,28,0.0
162,26,0.0
163,26,0.0
164,28,0.0
165,28,0.0
166,28,0.0
167,28,0.0
168,27,0.0
169,26,0.0
170,28,0.0
171,28,0.0
172,28,0.0
173,26,0.0
174,26,0.0
175,28,0.0
176,28,0.0
177,28,0.0
178,28,0.0
179,26,0.0
180,26,0.0
181,28,0.0
182,28,0.0
183,28,0.0
184,28,0.0
185,28,0.0
186,26,0.0
187,28,0.0
188,28,0.0
189,28,0.0
190,28,0.0
191,28,0.0
192,28,0.0
193,26,0.0
194,28,0.0
195,28,0.0
196,28,0.0
197,28,0.0
198,26,0.0
199,26,0.0
200,28,0.0
201,26,0.0
202,28,0.0
203,28,0.0
204,26,0.0
205,27,0.0
206,28,0.0
207,28,0.0
208,28,0.0
209,26,0.0
210,27,0.0
211,28,0.0
212,28,0.0
213,28,0.0
214,28,0.0
215,26,0.0
216,26,0.0
217,26,0.0
218,27,0.0
219,26,0.0
220,26,0.0
221,26,0.0
222,28,0.0
223,28,0.0
224,26,0.0
225,26,0.0
226,26,0.0
227,26,0.0
228,26,0.0
229,26,0.0
230,26,0.0
231,26,0.0
232,26,0.0
233,26,0.0
234,26,0.0
235,26,0.0
236,26,0.0
237,26,0.0
